NAICS_TITLE,2007 TOT_EMP,2007 A_MEAN,2007 MEAN_PRSE,2007 A_MEDIAN
"Agriculture, Forestry, Fishing, and Hunting",385730,23630,0.6,18410
Mining,644070,48190,1,39940
Utilities,542230,57890,0.6,55280
Construction,7671680,43320,0.2,36950
Manufacturing,13960700,41790,0.3,33550
Wholesale Trade,5964920,46900,0.3,35740
Retail Trade,15642700,27810,0.1,21470
Transportation and Warehousing,5306240,41620,0.6,37580
Information,3019040,54600,1.2,46020
Finance and Insurance,5990930,53190,0.4,39480
Real Estate and Rental and Leasing,2143100,37420,0.5,28880
"Professional, Scientific, and Technical Services",7519060,63370,0.3,50920
Management of Companies and Enterprises,1915250,62260,0.6,50000
Administrative and Support and Waste Management and Remediation Services,8506680,31440,0.3,24330
Educational Services,12455550,44960,0.4,39650
Health Care and Social Assistance,16006410,42600,0.2,31580
"Arts, Entertainment, and Recreation",1923380,30320,0.4,22110
Accommodation and Food Service,11341810,20540,0.2,17220
Other Services (except Public Administration),3881410,32820,0.3,25810
Public Administration,9533390,47840,0.3,42050
