NAICS_TITLE,2011 TOT_EMP,2011 A_MEAN,2011 MEAN_PRSE,2011 A_MEDIAN
"Agriculture, Forestry, Fishing and Hunting","371,180",25680,0.7,19460
"Mining, Quarrying, and Oil and Gas Extraction","693,400",57840,1.1,46100
Utilities,"551,690",64950,0.6,62610
Construction,"5,543,800",48390,0.2,40690
Manufacturing,"11,606,530",46620,0.4,36980
Wholesale Trade,"5,538,220",51380,0.3,38710
Retail Trade,"14,773,220",29430,0.2,22620
Transportation and Warehousing,"4,925,020",44110,0.4,40170
Information,"2,686,220",62690,1.1,51850
Finance and Insurance,"5,488,540",60150,0.4,44420
Real Estate and Rental and Leasing,"1,908,910",41290,0.4,31830
"Professional, Scientific, and Technical Services","7,546,400",71610,0.2,57980
Management of Companies and Enterprises,"1,905,510",71650,0.5,57900
Administrative and Support and Waste Management and Remediation Services,"7,724,320",34580,0.3,26620
Educational Services,"12,747,270",49860,0.4,43750
Health Care and Social Assistance,"17,428,210",47550,0.2,34790
"Arts, Entertainment, and Recreation","1,893,350",33090,0.4,23480
Accommodation and Food Services,"11,328,290",22730,0.2,19010
"Other Services (except Federal, State, and Local Government)","3,756,780",36140,0.3,27830
"Federal, State, and Local Government (excluding state and local schools and hospitals)","9,861,710",53580,0.2,46520
